                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             2.7905e-05,             2.7905e-05,             2.7905e-05
                     66,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             2.7575e-05,             2.7575e-05,             2.7575e-05
                     67,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             2.7222e-05,             2.7222e-05,             2.7222e-05
                     68,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             2.6845e-05,             2.6845e-05,             2.6845e-05
                     69,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             2.6021e-05,             2.6021e-05,             2.6021e-05
                     71,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             2.5573e-05,             2.5573e-05,             2.5573e-05
                     72,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             2.5102e-05,             2.5102e-05,             2.5102e-05
                     73,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             2.3547e-05,             2.3547e-05,             2.3547e-05
                     76,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             2.2982e-05,             2.2982e-05,             2.2982e-05
                     77,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             2.2393e-05,             2.2393e-05,             2.2393e-05
                     78,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              2.178e-05,              2.178e-05,              2.178e-05
                     79,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             2.1144e-05,             2.1144e-05,             2.1144e-05
                     80,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     81,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             1.9802e-05,             1.9802e-05,             1.9802e-05
                     82,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     83,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             1.8365e-05,             1.8365e-05,             1.8365e-05
                     84,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             1.7611e-05,             1.7611e-05,             1.7611e-05
                     85,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             1.6833e-05,             1.6833e-05,             1.6833e-05
                     86,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             1.6032e-05,             1.6032e-05,             1.6032e-05
                     87,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             1.5208e-05,             1.5208e-05,             1.5208e-05
                     88,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              1.436e-05,              1.436e-05,              1.436e-05
                     89,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             1.3488e-05,             1.3488e-05,             1.3488e-05
                     90,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             1.2593e-05,             1.2593e-05,             1.2593e-05
                     91,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             1.1674e-05,             1.1674e-05,             1.1674e-05
                     92,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             1.0732e-05,             1.0732e-05,             1.0732e-05
                     93,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             9.7656e-06,             9.7656e-06,             9.7656e-06
                     94,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             8.7761e-06,             8.7761e-06,             8.7761e-06
                     95,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             7.7631e-06,             7.7631e-06,             7.7631e-06
                     96,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             6.7265e-06,             6.7265e-06,             6.7265e-06
                     97,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             5.6663e-06,             5.6663e-06,             5.6663e-06
                     98,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             4.5826e-06,             4.5826e-06,             4.5826e-06
                     99,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             3.4753e-06,             3.4753e-06,             3.4753e-06
                    100,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             2.3444e-06,             2.3444e-06,             2.3444e-06
